action,project_id,file_ext,file_size,file_name,rel_path,reason,existing_ids,job_id
missing,GVF,.pdf,188731,20250630_Gemswell_Mod036_Alta actividad_Instalaciones deportivas.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Impostos/036/20250630_Gemswell_Mod036_Alta actividad_Instalaciones deportivas.pdf,no source_hash or title/project match; enqueued,,fad0edba-81a3-4f67-827f-e241d4e0e065
missing,GVF,.pdf,310379,GEMSWELL_Mod036_Modifi representante+domicilio social_fiscal.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Impostos/036/GEMSWELL_Mod036_Modifi representante+domicilio social_fiscal.pdf,no source_hash or title/project match; enqueued,,c7f80a7e-8f1d-49c2-b0ca-8c40facc23d1
missing,GVF,.pdf,29708,GEMSWELL_recibo de presentacion_Mod036_modificacion representante+domicilio fiscal_social.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Impostos/036/GEMSWELL_recibo de presentacion_Mod036_modificacion representante+domicilio fiscal_social.pdf,no source_hash or title/project match; enqueued,,ccf543c8-4efe-4431-b529-51e62444587d
missing,GVF,.pdf,162688,GEMSWELLJUSTPRSNT111-2T.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Impostos/IRPF/GEMSWELLJUSTPRSNT111-2T.pdf,no source_hash or title/project match; enqueued,,8f706caf-f529-4b40-a4ec-72b121fc0a4d
missing,GVF,.pdf,162731,GEMSWELLJUSTPRSNT111-3T.PDF,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Impostos/IRPF/GEMSWELLJUSTPRSNT111-3T.PDF,no source_hash or title/project match; enqueued,,c9c94902-1ab9-4516-83da-e289a8b01dde
missing,GVF,.pdf,140899,GEMSWELLJUSTPRSNT303-2T.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Impostos/IVA/GEMSWELLJUSTPRSNT303-2T.pdf,no source_hash or title/project match; enqueued,,5fb75453-a42a-46fe-8394-6af24e698fbc
missing,GVF,.pdf,140865,GEMSWELLJUSTPRSNT303-3T.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Impostos/IVA/GEMSWELLJUSTPRSNT303-3T.pdf,no source_hash or title/project match; enqueued,,dfaefb86-0def-48fb-b009-4e8fdb26ab73
legacy_title_match,GVF,.pdf,247861,20250708_Tarjeta Definitiva NIF_Gemswell.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Organismes Oficials/Hisenda/20250708_Tarjeta Definitiva NIF_Gemswell.pdf,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,a8c5a9d2-c3f1-4343-9bb1-f30519138bad,
missing,GVF,.pdf,126055,20250714_SS_Alta empleado_Gemswell.pdf,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Organismes Oficials/TGSS/20250714_SS_Alta empleado_Gemswell.pdf,no source_hash or title/project match; enqueued,,97da7c92-6efa-4af9-9880-fe4c288cfd16
missing,GVF,.xlsx,41894,GEMSWELLCIERRE2T.xlsx,0. GEMSWELL VENTURES SL/SL/Accounts. Administration/2025/Tancaments Comptables/2T/GEMSWELLCIERRE2T.xlsx,no source_hash or title/project match; enqueued,,d18dc1a9-f936-4444-8d04-21e862705730
missing,GVF,.pdf,1546900,Cesion Branding Veo Veo a Gemswell 10.04.2025.pdf,0. GEMSWELL VENTURES SL/SL/Contracts/Cesion Branding Veo Veo a Gemswell 10.04.2025.pdf,no source_hash or title/project match; enqueued,,18a2224b-5f8b-421a-bb11-adc9e2c9df2e
missing,GVF,.pdf,3844671,BancSabadell Contrato Cuenta 4262_Gemswell Ventures.pdf,0. GEMSWELL VENTURES SL/SL/Contracts/Bancos/BancSabadell Contrato Cuenta 4262_Gemswell Ventures.pdf,no source_hash or title/project match; enqueued,,dc77404f-f21c-40a7-a2dc-b03db0d89aec
missing,GVF,.pdf,5233207,Sabadell - Fdo. 2.06.pdf,0. GEMSWELL VENTURES SL/SL/Contracts/Bancos/Sabadell - Fdo. 2.06.pdf,no source_hash or title/project match; enqueued,,3ab4f78f-dd8d-40e7-8d6a-321f4e306221
missing,KLP,.pdf,1631855,Cesión Kelpa a Gemswell (Contrato Line Sports).pdf,0. GEMSWELL VENTURES SL/SL/Contracts/Cesión Kelpa a Gemswell (Contrato Line Sports).pdf,no source_hash or title/project match,,
missing,GVF,.pdf,4996405,Declaracion datos personales y fiscales-Banco Sabadell.pdf,0. GEMSWELL VENTURES SL/SL/Contracts/Declaracion datos personales y fiscales-Banco Sabadell.pdf,no source_hash or title/project match; enqueued,,d4749e73-cddf-4070-b681-a8a1953da2ea
missing,GVF,.pdf,231159,Wasserman Assignment Agreement SW 30.05.2025 en-US.pdf,0. GEMSWELL VENTURES SL/SL/Contracts/Wasserman Assignment Agreement SW 30.05.2025 en-US.pdf,no source_hash or title/project match; enqueued,,3b100cf8-1700-40cd-aa29-06d8d72758eb
missing,KLP,.pdf,1647277,20231003_CS Constitución de la Sociedad Kenichi_3465.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/0. Constitución/20231003_CS Constitución de la Sociedad Kenichi_3465.pdf,no source_hash or title/project match,,
missing,KLP,.pdf,83240,s4192__CIF DEFINITIVO KENICHI.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/0. Constitución/s4192__CIF DEFINITIVO KENICHI.pdf,no source_hash or title/project match; enqueued,,a717800e-e10d-493e-a030-55be965e59f1
missing,KLP,.pdf,138252,s4192__CIF Provisional KENICHI SL.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/0. Constitución/s4192__CIF Provisional KENICHI SL.pdf,no source_hash or title/project match; enqueued,,9083eff1-fb5a-4f49-82f4-24dd6e64624e
legacy_title_match,KLP,.pdf,132237,20231123_Certificación denominación_LONA BARCELONA SL.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/1. Compraventa SL/20231123_Certificación denominación_LONA BARCELONA SL.pdf,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,e7105e7a-6fe0-4252-b6b8-6a80cf2d5a75,
legacy_title_match,KLP,.pdf,5146,20231123_Solicitud denominación_KENICHI.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/1. Compraventa SL/20231123_Solicitud denominación_KENICHI.pdf,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,8f6d485b-ac38-4f27-85b7-a772e470a9dc,
legacy_title_match,KLP,.pdf,879429,20231127_CS ATR_4234_Lona Barcelona.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/1. Compraventa SL/20231127_CS ATR_4234_Lona Barcelona.pdf,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,b460c25b-4e54-4df3-a1d3-47a515c066cb,
legacy_title_match,KLP,.pdf,3056079,20231127_CS Compraventa_4232_Kenichi.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/1. Compraventa SL/20231127_CS Compraventa_4232_Kenichi.pdf,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,79fdcd81-9c27-419d-a059-e56f7a1b6410,
legacy_title_match,KLP,.pdf,4690280,20231127_CS Elevación a Público Acuerdos Sociales_4233_Lona Barcelona.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/1. Compraventa SL/20231127_CS Elevación a Público Acuerdos Sociales_4233_Lona Barcelona.pdf,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,1beede98-e417-493e-a834-2e577c80aa94,
missing,KLP,.pdf,559287,20231127_EI ATR_4234_Lona Barcelona.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/1. Compraventa SL/20231127_EI ATR_4234_Lona Barcelona.pdf,no source_hash or title/project match; enqueued,,f006d4be-46ca-440a-bf17-b62ad243aeb0
